transacao_id,cpf,data_compra,split,elegivel_downstream
0,860.703.096-50,2023-07-29,train,True
1,434.431.988-56,2023-07-29,train,True
2,223.814.674-16,2023-07-29,train,True
3,512.078.599-90,2023-07-29,train,True
4,136.150.326-24,2023-07-29,train,True
5,546.648.654-06,2023-07-29,train,True
6,371.707.997-23,2023-07-29,train,True
7,869.874.884-87,2023-07-29,train,True
8,324.292.098-88,2023-07-29,train,True
9,711.833.189-95,2023-07-29,train,True
10,562.409.507-42,2023-07-29,train,True
11,064.623.286-06,2023-07-29,train,True
12,323.760.367-80,2023-07-29,train,True
13,563.651.956-72,2023-07-29,train,True
14,305.343.512-80,2023-07-29,train,True
15,502.753.743-35,2023-07-29,train,True
16,989.188.524-01,2023-07-29,train,True
17,456.175.891-72,2023-07-29,train,True
18,587.745.797-70,2023-07-29,train,True
19,074.050.960-85,2023-07-29,train,True
20,335.505.555-71,2023-07-29,train,True
21,539.412.855-30,2023-07-29,train,True
22,652.256.945-00,2023-07-29,train,True
23,160.654.975-84,2023-07-29,train,True
24,171.838.554-49,2023-07-29,train,True
25,988.593.575-43,2023-07-29,train,True
26,289.135.554-76,2023-07-29,train,True
27,330.602.393-04,2023-07-29,train,True
28,398.669.800-06,2023-07-29,train,True
29,365.593.268-53,2023-07-29,train,True
30,751.295.472-76,2023-07-29,train,True
31,392.982.299-76,2023-07-29,train,True
32,838.981.677-63,2023-07-29,train,True
33,033.956.370-26,2023-07-29,train,True
34,857.847.855-08,2023-07-29,train,True
35,452.253.874-03,2023-07-29,train,True
36,962.524.029-23,2023-07-29,train,True
37,984.741.031-34,2023-07-29,train,True
38,661.069.349-83,2023-07-29,train,True
39,124.905.933-07,2023-07-29,train,True
40,943.247.668-51,2023-07-29,train,True
41,820.414.545-47,2023-07-29,train,True
42,820.414.545-47,2023-07-29,train,True
43,362.806.220-96,2023-07-29,train,True
44,561.647.401-00,2023-07-29,train,True
45,814.609.977-78,2023-07-29,train,True
46,807.881.770-36,2023-07-29,train,True
47,563.485.151-33,2023-07-29,train,True
48,632.033.871-74,2023-07-29,train,True
49,605.723.195-33,2023-07-29,train,True
50,682.840.388-62,2023-07-29,train,True
51,726.869.497-08,2023-07-29,train,True
52,214.317.667-80,2023-07-29,train,True
53,889.859.883-10,2023-07-29,train,True
54,610.938.427-50,2023-07-29,train,True
55,110.880.241-90,2023-07-29,train,True
56,671.074.003-04,2023-07-29,train,True
57,890.166.355-48,2023-07-29,train,True
58,662.180.640-00,2023-07-29,train,True
59,034.529.970-14,2023-07-29,train,True
60,499.507.793-67,2023-07-29,train,True
61,569.928.916-00,2023-07-29,train,True
62,778.980.386-73,2023-07-29,train,True
63,686.277.737-85,2023-07-29,train,True
64,465.255.251-36,2023-07-29,train,True
65,295.372.759-06,2023-07-29,train,True
66,365.936.626-90,2023-07-29,train,True
67,501.893.051-93,2023-07-29,train,True
68,847.072.566-19,2023-07-29,train,True
69,507.313.332-33,2023-07-29,train,True
70,862.092.931-31,2023-07-29,train,True
71,486.979.104-80,2023-07-29,train,True
72,251.502.524-25,2023-07-29,train,True
73,862.092.931-31,2023-07-29,train,True
74,378.619.679-64,2023-07-29,train,True
75,023.777.435-60,2023-07-29,train,True
76,807.152.648-77,2023-07-29,train,True
77,455.140.475-63,2023-07-29,train,True
78,043.393.215-59,2023-07-29,train,True
79,706.472.720-08,2023-07-29,train,True
80,665.049.404-60,2023-07-29,train,True
81,087.932.495-35,2023-07-29,train,True
82,367.464.624-20,2023-07-29,train,True
83,133.509.443-10,2023-07-29,train,True
84,417.181.639-40,2023-07-29,train,True
85,139.744.223-90,2023-07-29,train,True
86,729.524.182-50,2023-07-29,train,True
87,102.567.758-77,2023-07-29,train,True
88,803.863.816-66,2023-07-29,train,True
89,826.102.522-50,2023-07-29,train,True
90,493.714.856-71,2023-07-29,train,True
91,493.714.856-71,2023-07-29,train,True
92,131.634.089-90,2023-07-29,train,True
93,615.056.177-15,2023-07-29,train,True
94,698.755.611-34,2023-07-29,train,True
95,596.991.678-15,2023-07-29,train,True
96,098.519.025-60,2023-07-29,train,True
97,069.456.702-79,2023-07-29,train,True
98,164.080.868-02,2023-07-29,train,True
99,387.887.717-09,2023-07-29,train,True
100,427.975.592-23,2023-07-29,train,True
101,847.072.566-19,2023-07-29,train,True
102,309.107.101-47,2023-07-29,train,True
103,023.777.435-60,2023-07-29,train,True
104,123.597.830-33,2023-07-29,train,True
105,305.338.675-50,2023-07-29,train,True
106,395.958.768-60,2023-07-29,train,True
107,428.534.738-56,2023-07-29,train,True
108,504.465.573-23,2023-07-29,train,True
109,589.211.654-95,2023-07-29,train,True
110,793.301.407-00,2023-07-29,train,True
111,243.782.394-85,2023-07-29,train,True
112,666.874.255-60,2023-07-29,train,True
113,666.874.255-60,2023-07-29,train,True
114,493.046.387-47,2023-07-29,train,True
115,467.120.575-07,2023-07-29,train,True
116,090.579.291-20,2023-07-29,train,True
117,624.375.015-92,2023-07-29,train,True
118,939.132.963-28,2023-07-29,train,True
119,683.972.155-81,2023-07-29,train,True
120,286.421.698-18,2023-07-29,train,True
121,576.369.487-29,2023-07-29,train,True
122,152.524.279-25,2023-07-29,train,True
123,107.073.293-10,2023-07-29,train,True
124,310.555.271-50,2023-07-29,train,True
125,070.337.859-76,2023-07-29,train,True
126,249.868.535-97,2023-07-29,train,True
127,538.700.196-97,2023-07-29,train,True
128,612.227.191-85,2023-07-29,train,True
129,079.923.286-63,2023-07-29,train,True
130,909.976.126-06,2023-07-29,train,True
131,115.657.493-59,2023-07-29,train,True
132,281.445.317-36,2023-07-29,train,True
133,128.103.743-50,2023-07-29,train,True
134,153.587.965-33,2023-07-29,train,True
135,762.276.937-15,2023-07-29,train,True
136,293.781.629-08,2023-07-29,train,True
137,520.212.619-05,2023-07-29,train,True
138,669.846.941-67,2023-07-29,train,True
139,402.660.242-70,2023-07-29,train,True
140,669.846.941-67,2023-07-29,train,True
141,876.143.285-74,2023-07-29,train,True
142,642.233.786-86,2023-07-29,train,True
143,141.148.154-22,2023-07-29,train,True
144,929.748.918-45,2023-07-29,train,True
145,622.879.020-07,2023-07-29,train,True
146,351.972.936-91,2023-07-29,train,True
147,191.992.798-00,2023-07-29,train,True
148,612.227.191-85,2023-07-29,train,True
149,718.896.983-34,2023-07-29,train,True
150,109.498.462-01,2023-07-29,train,False
151,915.567.696-01,2023-07-29,train,True
152,048.094.477-66,2023-07-29,train,True
153,084.113.701-35,2023-07-29,train,True
154,863.344.523-98,2023-07-29,train,True
155,829.485.613-45,2023-07-29,train,True
156,131.357.955-60,2023-07-29,train,True
157,695.066.670-55,2023-07-29,train,True
158,126.381.049-73,2023-07-29,train,True
159,367.779.201-02,2023-07-29,train,True
160,414.362.295-53,2023-07-29,train,True
161,669.313.079-83,2023-07-29,train,True
162,765.278.407-72,2023-07-29,train,True
163,732.530.367-07,2023-07-29,train,True
164,713.576.900-70,2023-07-29,train,True
165,118.719.109-43,2023-07-29,train,True
166,939.079.199-55,2023-07-29,train,True
167,909.834.288-40,2023-07-29,train,True
168,816.079.610-24,2023-07-29,train,True
169,587.174.335-84,2023-07-29,train,True
170,295.406.012-31,2023-07-29,train,True
171,646.215.428-42,2023-07-29,train,True
172,928.645.003-61,2023-07-29,train,True
173,481.530.410-61,2023-07-29,train,True
174,353.461.799-17,2023-07-29,train,True
175,914.970.921-67,2023-07-29,train,True
176,258.178.064-95,2023-07-29,train,True
177,833.371.420-01,2023-07-29,train,True
178,706.626.487-81,2023-07-29,train,True
179,345.783.804-67,2023-07-29,train,True
180,907.689.836-73,2023-07-29,train,True
181,451.865.654-74,2023-07-29,train,True
182,410.663.545-37,2023-07-29,train,True
183,349.845.737-32,2023-07-29,train,True
184,932.656.892-04,2023-07-29,train,True
185,703.276.511-48,2023-07-29,train,True
186,075.051.789-11,2023-07-29,train,True
187,245.964.820-04,2023-07-29,train,True
188,078.823.231-28,2023-07-29,train,True
189,309.827.371-22,2023-07-29,train,True
190,953.090.666-83,2023-07-29,train,True
191,342.400.072-83,2023-07-29,train,True
192,075.576.753-55,2023-07-29,train,True
193,837.506.828-44,2023-07-29,train,True
194,666.934.968-81,2023-07-29,train,True
195,803.369.652-49,2023-07-29,train,True
196,061.115.624-52,2023-07-29,train,True
197,091.331.758-61,2023-07-29,train,True
198,308.436.578-47,2023-07-29,train,True
199,166.702.452-38,2023-07-29,train,True
200,976.813.258-24,2023-07-29,train,True
201,520.849.920-79,2023-07-29,train,True
202,538.343.261-27,2023-07-29,train,True
203,770.171.272-00,2023-07-29,train,True
204,990.818.699-06,2023-07-29,train,True
205,665.049.404-60,2023-07-29,train,True
206,601.264.219-94,2023-07-29,train,True
207,511.935.661-34,2023-07-29,train,True
208,017.952.622-73,2023-07-29,train,True
209,050.338.967-68,2023-07-29,train,True
210,321.412.637-78,2023-07-29,train,True
211,552.138.069-88,2023-07-29,train,True
212,714.198.039-30,2023-07-29,train,True
213,851.348.742-20,2023-07-29,train,True
214,134.506.884-05,2023-07-29,train,True
215,817.094.288-80,2023-07-29,train,True
216,848.525.050-80,2023-07-29,train,True
217,981.776.837-64,2023-07-29,train,True
218,246.903.458-21,2023-07-29,train,True
219,970.785.889-32,2023-07-29,train,True
220,302.571.312-72,2023-07-29,train,True
221,457.056.260-45,2023-07-29,train,True
222,524.892.229-10,2023-07-29,train,True
223,607.282.487-00,2023-07-29,train,True
224,388.752.943-05,2023-07-29,train,True
225,000.369.413-52,2023-07-29,train,True
226,209.773.566-55,2023-07-29,train,True
227,164.613.241-60,2023-07-29,train,True
