transacao_id,cpf,data_compra,split,churn_label,proxima_categoria,proximo_valor_bucket
15587,000.020.991-01,2024-01-01,train,1.0,Fertilizantes,3.0
73173,000.020.991-01,2025-10-17,train,1.0,,
82346,000.043.199-07,2026-01-27,val,1.0,,
4377,000.209.018-01,2023-09-02,train,1.0,Máquinas,2.0
23241,000.209.018-01,2024-03-28,train,0.0,Fertilizantes,6.0
24946,000.209.018-01,2024-04-17,train,1.0,Fertilizantes,9.0
38795,000.209.018-01,2024-09-19,train,1.0,Fertilizantes,7.0
84936,000.209.018-01,2026-02-26,test,1.0,Sementes,7.0
97979,000.209.018-01,2026-07-14,test,,,
35737,000.223.050-09,2024-08-17,train,1.0,,
13910,000.239.228-34,2023-12-14,train,1.0,,
39189,000.246.603-10,2024-09-24,train,1.0,,
14278,000.293.668-28,2023-12-17,train,0.0,Máquinas,4.0
14626,000.293.668-28,2023-12-21,train,1.0,Sementes,5.0
32432,000.293.668-28,2024-07-10,train,1.0,Fertilizantes,2.0
69945,000.293.668-28,2025-09-11,train,1.0,,
39816,000.322.541-05,2024-10-01,train,0.0,Defensivos,8.0
42379,000.322.541-05,2024-10-30,train,0.0,Defensivos,1.0
46362,000.322.541-05,2024-12-14,train,0.0,Defensivos,1.0
55234,000.322.541-05,2025-03-24,train,1.0,,
225,000.369.413-52,2023-07-29,train,1.0,Fertilizantes,6.0
12753,000.369.413-52,2023-12-01,train,1.0,Sementes,5.0
39746,000.369.413-52,2024-09-30,train,0.0,Máquinas,3.0
42427,000.369.413-52,2024-10-31,train,1.0,Sementes,2.0
55541,000.369.413-52,2025-03-28,train,1.0,Máquinas,1.0
68801,000.369.413-52,2025-08-29,train,0.0,Sementes,0.0
70551,000.369.413-52,2025-09-18,train,1.0,Defensivos,6.0
89450,000.369.413-52,2026-04-18,test,,,
80136,000.378.657-90,2026-01-03,val,1.0,,
91866,000.454.006-95,2026-05-14,test,,,
19943,000.454.737-30,2024-02-20,train,0.0,Sementes,1.0
22592,000.454.737-30,2024-03-21,train,1.0,Defensivos,0.0
99492,000.454.737-30,2026-07-25,test,,,
11999,000.476.851-58,2023-11-23,train,1.0,,
53095,000.566.603-16,2025-03-01,train,1.0,,
92839,000.597.161-69,2026-05-25,test,,,
43381,000.744.064-26,2024-11-11,train,1.0,,
4726,000.744.528-86,2023-09-06,train,0.0,Defensivos,1.0
15116,000.744.528-86,2023-12-27,train,0.0,Defensivos,0.0
19755,000.744.528-86,2024-02-17,train,0.0,Defensivos,5.0
24198,000.744.528-86,2024-04-09,train,0.0,Defensivos,3.0
28124,000.744.528-86,2024-05-23,train,0.0,Defensivos,7.0
35069,000.744.528-86,2024-08-09,train,0.0,Defensivos,8.0
37850,000.744.528-86,2024-09-09,train,0.0,Defensivos,9.0
41872,000.744.528-86,2024-10-24,train,0.0,Fertilizantes,0.0
45863,000.744.528-86,2024-12-09,train,0.0,Defensivos,2.0
52537,000.744.528-86,2025-02-23,train,0.0,Defensivos,6.0
57679,000.744.528-86,2025-04-22,train,0.0,Fertilizantes,0.0
61887,000.744.528-86,2025-06-10,train,0.0,Defensivos,5.0
64141,000.744.528-86,2025-07-06,train,0.0,Defensivos,8.0
64852,000.744.528-86,2025-07-15,train,0.0,Defensivos,1.0
68613,000.744.528-86,2025-08-26,train,0.0,Sementes,5.0
72708,000.744.528-86,2025-10-12,train,0.0,Defensivos,8.0
72799,000.744.528-86,2025-10-13,train,0.0,Defensivos,3.0
72984,000.744.528-86,2025-10-15,train,1.0,Defensivos,3.0
89175,000.744.528-86,2026-04-15,test,0.0,Defensivos,3.0
92649,000.744.528-86,2026-05-23,test,0.0,Defensivos,5.0
94176,000.744.528-86,2026-06-08,test,0.0,Defensivos,3.0
99319,000.744.528-86,2026-07-24,test,,,
25377,000.778.101-63,2024-04-23,train,1.0,Sementes,4.0
91349,000.778.101-63,2026-05-09,test,0.0,Defensivos,8.0
91469,000.778.101-63,2026-05-10,test,,,
17587,000.796.873-69,2024-01-24,train,0.0,Sementes,8.0
18541,000.796.873-69,2024-02-04,train,1.0,Fertilizantes,5.0
29743,000.796.873-69,2024-06-09,train,1.0,Sementes,6.0
63864,000.796.873-69,2025-07-03,train,0.0,Fertilizantes,6.0
67761,000.796.873-69,2025-08-17,train,1.0,Máquinas,1.0
85010,000.796.873-69,2026-02-27,test,0.0,Sementes,2.0
