evento_id,entidade_id,split,valor,desconto,valor_bucket,desconto_bucket
0,860.703.096-50,train,9065.4,554.7,7,7
1,434.431.988-56,train,12685.26,527.82,9,7
2,223.814.674-16,train,3301.99,193.79,3,3
3,512.078.599-90,train,2223.44,271.21,2,5
4,136.150.326-24,train,5854.93,367.07,6,5
5,546.648.654-06,train,20972.59,1735.61,9,9
6,371.707.997-23,train,1471.39,160.76,1,3
7,869.874.884-87,train,3711.25,476.18,4,6
8,324.292.098-88,train,624.01,85.01,0,1
9,711.833.189-95,train,8345.83,892.95,0,2
10,562.409.507-42,train,342.8,16.03,0,0
11,064.623.286-06,train,4427.56,264.29,4,4
12,323.760.367-80,train,46180.33,3007.88,5,5
13,563.651.956-72,train,5225.82,625.88,5,7
14,305.343.512-80,train,9438.46,506.62,8,7
15,502.753.743-35,train,4246.21,411.99,5,6
16,989.188.524-01,train,7930.49,688.51,8,8
17,456.175.891-72,train,45794.09,6355.87,5,8
18,587.745.797-70,train,4840.62,338.82,4,5
19,074.050.960-85,train,6857.83,378.28,6,5
20,335.505.555-71,train,2953.67,167.53,2,2
21,539.412.855-30,train,662.67,62.29,0,1
22,652.256.945-00,train,6061.21,936.83,6,9
23,160.654.975-84,train,3324.91,328.01,3,5
24,171.838.554-49,train,9728.87,274.41,8,5
25,988.593.575-43,train,15289.93,2299.04,9,9
26,289.135.554-76,train,844.41,50.53,0,0
27,330.602.393-04,train,13543.52,1176.61,9,9
28,398.669.800-06,train,20555.02,395.64,2,0
29,365.593.268-53,train,4953.15,483.01,5,7
30,751.295.472-76,train,3626.41,296.19,3,4
31,392.982.299-76,train,4444.5,212.25,4,3
32,838.981.677-63,train,2971.62,386.76,2,5
33,033.956.370-26,train,1725.48,134.44,1,2
34,857.847.855-08,train,1844.64,83.16,1,1
35,452.253.874-03,train,247.55,16.18,0,0
36,962.524.029-23,train,2066.89,51.63,2,0
37,984.741.031-34,train,4191.89,243.67,4,4
38,661.069.349-83,train,8600.14,527.65,7,7
39,124.905.933-07,train,3108.2,268.03,2,4
40,943.247.668-51,train,4709.38,319.02,5,5
41,820.414.545-47,train,50051.01,1917.51,6,4
42,820.414.545-47,train,44258.57,2408.73,5,5
43,362.806.220-96,train,7222.57,341.93,7,6
44,561.647.401-00,train,85579.72,6215.48,8,8
45,814.609.977-78,train,13682.77,286.91,9,4
46,807.881.770-36,train,35459.09,455.77,9,6
47,563.485.151-33,train,4817.3,74.2,5,1
48,632.033.871-74,train,1262.9,101.38,1,1
49,605.723.195-33,train,5613.65,339.4,5,5
50,682.840.388-62,train,19965.58,618.56,2,1
51,726.869.497-08,train,5848.18,435.02,6,6
52,214.317.667-80,train,5250.8,195.25,5,3
53,889.859.883-10,train,7456.79,618.33,6,7
54,610.938.427-50,train,2943.95,325.54,3,5
55,110.880.241-90,train,4105.83,372.32,4,6
56,671.074.003-04,train,7161.13,461.07,7,7
57,890.166.355-48,train,50349.32,2274.6,9,9
58,662.180.640-00,train,12624.71,416.99,8,6
59,034.529.970-14,train,746.88,39.52,0,0
60,499.507.793-67,train,2682.04,254.18,2,4
61,569.928.916-00,train,7752.76,404.94,7,5
62,778.980.386-73,train,1932.45,54.12,2,0
63,686.277.737-85,train,2111.36,66.1,2,1
64,465.255.251-36,train,2055.98,191.32,1,3
65,295.372.759-06,train,18975.98,1267.09,9,9
66,365.936.626-90,train,3543.62,127.62,3,2
67,501.893.051-93,train,8565.85,427.67,8,6
68,847.072.566-19,train,9765.63,631.68,8,8
69,507.313.332-33,train,13492.31,1090.83,1,2
70,862.092.931-31,train,6874.13,943.99,7,9
71,486.979.104-80,train,2067.37,117.77,2,2
72,251.502.524-25,train,2286.91,84.35,2,1
73,862.092.931-31,train,16692.98,895.22,9,9
74,378.619.679-64,train,6826.56,590.69,6,7
75,023.777.435-60,train,7374.9,780.38,6,8
76,807.152.648-77,train,5639.17,454.55,5,6
77,455.140.475-63,train,3888.65,272.99,3,4
78,043.393.215-59,train,1575.36,110.42,1,1
79,706.472.720-08,train,3804.84,619.71,4,7
80,665.049.404-60,train,6328.15,639.2,6,7
81,087.932.495-35,train,7168.74,276.86,6,4
82,367.464.624-20,train,4535.45,380.26,5,6
83,133.509.443-10,train,264356.58,29732.02,9,9
