evento_id,entidade_id,data_evento,categoria,marca,fabricante,produto,quantidade,valor,desconto,pagamento,canal,uf,sexo,data_nascimento
0,860.703.096-50,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0110,9,9065.4,554.7,Boleto,Loja,MT,M,1970-03-30
1,434.431.988-56,2023-07-29,Defensivos,AgriPlus,Empresa A,P0078,9,12685.26,527.82,Cartão,Online,BA,F,1963-07-04
2,223.814.674-16,2023-07-29,Defensivos,VerdeTech,Empresa C,P0100,2,3301.99,193.79,Boleto,Loja,PR,M,1951-08-15
3,512.078.599-90,2023-07-29,Sementes,VerdeTech,Empresa B,P0044,5,2223.44,271.21,PIX,Representante,PR,F,1970-11-11
4,136.150.326-24,2023-07-29,Defensivos,AgroMax,Empresa C,P0081,10,5854.93,367.07,PIX,Online,PR,F,2003-03-29
5,546.648.654-06,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0139,6,20972.59,1735.61,Cartão,Loja,PR,F,1966-08-18
6,371.707.997-23,2023-07-29,Defensivos,CampoForte,Empresa C,P0080,5,1471.39,160.76,PIX,Online,MG,M,1999-03-16
7,869.874.884-87,2023-07-29,Defensivos,AgriPlus,Empresa B,P0085,9,3711.25,476.18,Cartão,Representante,PR,M,1956-11-07
8,324.292.098-88,2023-07-29,Defensivos,AgroMax,Empresa A,P0081,1,624.01,85.01,Cartão,Representante,PR,F,1955-08-20
9,711.833.189-95,2023-07-29,Máquinas,AgriPlus,Empresa B,P0158,2,8345.83,892.95,Boleto,Representante,MT,F,1970-05-17
10,562.409.507-42,2023-07-29,Sementes,VerdeTech,Empresa B,P0047,1,342.8,16.03,Cartão,Representante,RS,M,1987-10-30
11,064.623.286-06,2023-07-29,Defensivos,VerdeTech,Empresa A,P0079,5,4427.56,264.29,Cartão,Representante,BA,F,1951-04-14
12,323.760.367-80,2023-07-29,Máquinas,AgriPlus,Empresa B,P0142,3,46180.33,3007.88,Boleto,Online,PR,M,1980-05-12
13,563.651.956-72,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0132,5,5225.82,625.88,PIX,Loja,GO,F,1952-03-31
14,305.343.512-80,2023-07-29,Defensivos,AgroMax,Empresa B,P0070,4,9438.46,506.62,Boleto,Loja,GO,F,1996-04-12
15,502.753.743-35,2023-07-29,Sementes,CampoForte,Empresa B,P0049,10,4246.21,411.99,PIX,Online,MT,F,1954-01-15
16,989.188.524-01,2023-07-29,Sementes,AgroMax,Empresa A,P0050,10,7930.49,688.51,Cartão,Representante,GO,M,1949-08-13
17,456.175.891-72,2023-07-29,Máquinas,VerdeTech,Empresa C,P0178,4,45794.09,6355.87,PIX,Online,PR,F,2007-07-11
18,587.745.797-70,2023-07-29,Fertilizantes,AgriPlus,Empresa B,P0117,7,4840.62,338.82,PIX,Online,RS,M,1976-04-26
19,074.050.960-85,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0135,7,6857.83,378.28,Boleto,Online,PR,F,1986-11-16
20,335.505.555-71,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0137,3,2953.67,167.53,PIX,Loja,GO,M,1991-08-27
21,539.412.855-30,2023-07-29,Defensivos,AgroMax,Empresa B,P0068,1,662.67,62.29,Boleto,Online,PR,M,1988-11-06
22,652.256.945-00,2023-07-29,Sementes,AgroMax,Empresa B,P0046,6,6061.21,936.83,Cartão,Online,MT,F,1974-07-18
23,160.654.975-84,2023-07-29,Defensivos,AgroMax,Empresa A,P0097,6,3324.91,328.01,Cartão,Loja,GO,F,1954-08-26
24,171.838.554-49,2023-07-29,Sementes,AgroMax,Empresa C,P0032,7,9728.87,274.41,PIX,Loja,RS,F,1960-09-28
25,988.593.575-43,2023-07-29,Defensivos,AgriPlus,Empresa C,P0071,9,15289.93,2299.04,Boleto,Representante,PR,M,1999-06-21
26,289.135.554-76,2023-07-29,Fertilizantes,AgroMax,Empresa A,P0126,1,844.41,50.53,PIX,Online,GO,F,1955-11-16
27,330.602.393-04,2023-07-29,Defensivos,AgroMax,Empresa C,P0088,9,13543.52,1176.61,Boleto,Loja,GO,M,1966-09-14
28,398.669.800-06,2023-07-29,Máquinas,VerdeTech,Empresa B,P0153,1,20555.02,395.64,PIX,Online,GO,F,2007-08-13
29,365.593.268-53,2023-07-29,Sementes,VerdeTech,Empresa A,P0004,8,4953.15,483.01,PIX,Online,MT,M,1972-10-28
30,751.295.472-76,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0123,4,3626.41,296.19,Boleto,Representante,BA,F,1965-09-17
31,392.982.299-76,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0137,5,4444.5,212.25,Cartão,Representante,PR,M,1994-02-18
32,838.981.677-63,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0122,3,2971.62,386.76,Cartão,Representante,PR,F,1969-02-15
33,033.956.370-26,2023-07-29,Sementes,AgroMax,Empresa B,P0013,4,1725.48,134.44,Boleto,Representante,BA,F,1965-01-18
34,857.847.855-08,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0134,3,1844.64,83.16,PIX,Online,RS,M,1952-11-16
35,452.253.874-03,2023-07-29,Defensivos,AgriPlus,Empresa C,P0065,1,247.55,16.18,PIX,Online,PR,F,1987-06-09
36,962.524.029-23,2023-07-29,Defensivos,AgriPlus,Empresa B,P0084,2,2066.89,51.63,Boleto,Loja,PR,M,1961-08-15
37,984.741.031-34,2023-07-29,Defensivos,AgroMax,Empresa A,P0096,4,4191.89,243.67,Boleto,Online,MT,M,2003-10-03
38,661.069.349-83,2023-07-29,Defensivos,AgriPlus,Empresa B,P0096,7,8600.14,527.65,PIX,Loja,RS,M,1960-12-23
39,124.905.933-07,2023-07-29,Fertilizantes,AgriPlus,Empresa B,P0137,3,3108.2,268.03,Boleto,Online,RS,F,1969-04-01
40,943.247.668-51,2023-07-29,Sementes,AgriPlus,Empresa A,P0004,5,4709.38,319.02,Cartão,Loja,MT,M,2001-01-10
41,820.414.545-47,2023-07-29,Máquinas,VerdeTech,Empresa A,P0149,3,50051.01,1917.51,Boleto,Representante,PR,F,1981-09-17
42,820.414.545-47,2023-07-29,Máquinas,AgriPlus,Empresa A,P0174,5,44258.57,2408.73,Boleto,Representante,PR,F,1981-09-17
43,362.806.220-96,2023-07-29,Sementes,CampoForte,Empresa B,P0033,10,7222.57,341.93,Boleto,Online,PR,F,1983-12-19
44,561.647.401-00,2023-07-29,Máquinas,AgroMax,Empresa C,P0160,8,85579.72,6215.48,Boleto,Representante,PR,M,1981-09-06
45,814.609.977-78,2023-07-29,Fertilizantes,VerdeTech,Empresa A,P0125,8,13682.77,286.91,PIX,Loja,PR,M,1959-07-25
46,807.881.770-36,2023-07-29,Defensivos,AgroMax,Empresa A,P0068,9,35459.09,455.77,Boleto,Loja,GO,F,1990-04-17
47,563.485.151-33,2023-07-29,Defensivos,AgriPlus,Empresa B,P0080,6,4817.3,74.2,Boleto,Loja,MG,F,1957-05-19
48,632.033.871-74,2023-07-29,Defensivos,AgroMax,Empresa C,P0091,2,1262.9,101.38,PIX,Online,RS,F,1964-10-04
49,605.723.195-33,2023-07-29,Fertilizantes,AgroMax,Empresa C,P0114,9,5613.65,339.4,PIX,Online,PR,F,1974-08-20
50,682.840.388-62,2023-07-29,Máquinas,AgriPlus,Empresa A,P0153,6,19965.58,618.56,Cartão,Online,BA,F,1991-09-27
51,726.869.497-08,2023-07-29,Defensivos,CampoForte,Empresa A,P0085,4,5848.18,435.02,Boleto,Representante,PR,F,1975-12-17
52,214.317.667-80,2023-07-29,Fertilizantes,VerdeTech,Empresa A,P0127,5,5250.8,195.25,PIX,Online,RS,M,1973-07-20
53,889.859.883-10,2023-07-29,Fertilizantes,CampoForte,Empresa A,P0108,4,7456.79,618.33,Boleto,Representante,BA,M,1964-07-24
54,610.938.427-50,2023-07-29,Defensivos,AgroMax,Empresa C,P0072,7,2943.95,325.54,PIX,Representante,GO,M,1978-07-15
55,110.880.241-90,2023-07-29,Defensivos,AgroMax,Empresa A,P0072,5,4105.83,372.32,Cartão,Online,MG,M,1969-02-25
56,671.074.003-04,2023-07-29,Sementes,AgriPlus,Empresa A,P0014,10,7161.13,461.07,Boleto,Representante,RS,F,2004-03-06
57,890.166.355-48,2023-07-29,Defensivos,VerdeTech,Empresa A,P0074,8,50349.32,2274.6,Boleto,Online,BA,F,1964-04-28
58,662.180.640-00,2023-07-29,Fertilizantes,AgroMax,Empresa C,P0105,10,12624.71,416.99,PIX,Online,PR,F,1982-06-29
59,034.529.970-14,2023-07-29,Fertilizantes,CampoForte,Empresa C,P0101,1,746.88,39.52,PIX,Online,MT,M,2008-04-03
