evento_id,entidade_id,split,n_eventos_anteriores,churn_rotulo,churn_baseline,next_category_rotulo,next_category_baseline,next_value_rotulo,next_value_baseline,ltv_rotulo,ltv_baseline
15587,000.020.991-01,train,0,1.0,101.99133428646456,Fertilizantes,Defensivos,3.0,0,2.0,2.0
73173,000.020.991-01,train,1,1.0,655.0,,Fertilizantes,,2.0,2.0,2.0
82346,000.043.199-07,val,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
4377,000.209.018-01,train,0,1.0,101.99133428646456,Máquinas,Defensivos,2.0,0,2.0,2.0
23241,000.209.018-01,train,1,0.0,208.0,Fertilizantes,Defensivos,6.0,7.0,5.0,2.0
24946,000.209.018-01,train,2,1.0,114.0,Fertilizantes,Defensivos,9.0,7.0,4.0,2.0
38795,000.209.018-01,train,3,1.0,127.66666666666667,Fertilizantes,Defensivos,7.0,7.0,2.0,2.0
84936,000.209.018-01,test,4,1.0,227.0,Sementes,Fertilizantes,7.0,7.0,,2.0
97979,000.209.018-01,test,5,,209.2,,Fertilizantes,,7.0,,2.0
35737,000.223.050-09,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
13910,000.239.228-34,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
39189,000.246.603-10,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
14278,000.293.668-28,train,0,0.0,101.99133428646456,Máquinas,Defensivos,4.0,0,6.0,2.0
14626,000.293.668-28,train,1,1.0,4.0,Sementes,Fertilizantes,5.0,8.0,2.0,6.0
32432,000.293.668-28,train,2,1.0,103.0,Fertilizantes,Fertilizantes,2.0,8.0,2.0,6.0
69945,000.293.668-28,train,3,1.0,211.33333333333334,,Fertilizantes,,8.0,2.0,2.0
39816,000.322.541-05,train,0,0.0,101.99133428646456,Defensivos,Defensivos,8.0,0,4.0,2.0
42379,000.322.541-05,train,1,0.0,29.0,Defensivos,Defensivos,1.0,4.0,2.0,4.0
46362,000.322.541-05,train,2,0.0,37.0,Defensivos,Defensivos,1.0,4.0,2.0,4.0
55234,000.322.541-05,train,3,1.0,58.0,,Defensivos,,4.0,2.0,2.0
225,000.369.413-52,train,0,1.0,101.99133428646456,Fertilizantes,Defensivos,6.0,0,3.0,2.0
12753,000.369.413-52,train,1,1.0,125.0,Sementes,Máquinas,5.0,1.0,2.0,3.0
39746,000.369.413-52,train,2,0.0,214.5,Máquinas,Máquinas,3.0,1.0,6.0,3.0
42427,000.369.413-52,train,3,1.0,153.33333333333334,Sementes,Máquinas,2.0,1.0,2.0,3.0
55541,000.369.413-52,train,4,1.0,152.0,Máquinas,Máquinas,1.0,1.0,4.0,2.0
68801,000.369.413-52,train,5,0.0,152.4,Sementes,Máquinas,0.0,1.0,2.0,2.0
70551,000.369.413-52,train,6,1.0,130.33333333333334,Defensivos,Máquinas,6.0,1.0,2.0,2.0
89450,000.369.413-52,test,7,,142.0,,Máquinas,,1.0,,2.0
80136,000.378.657-90,val,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
91866,000.454.006-95,test,0,,101.99133428646456,,Defensivos,,0,,2.0
19943,000.454.737-30,train,0,0.0,101.99133428646456,Sementes,Defensivos,1.0,0,2.0,2.0
22592,000.454.737-30,train,1,1.0,30.0,Defensivos,Defensivos,0.0,7.0,2.0,2.0
99492,000.454.737-30,test,2,,443.0,,Defensivos,,7.0,,2.0
11999,000.476.851-58,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
53095,000.566.603-16,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
92839,000.597.161-69,test,0,,101.99133428646456,,Defensivos,,0,,2.0
43381,000.744.064-26,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
4726,000.744.528-86,train,0,0.0,101.99133428646456,Defensivos,Defensivos,1.0,0,2.0,2.0
15116,000.744.528-86,train,1,0.0,112.0,Defensivos,Defensivos,0.0,4.0,4.0,2.0
19755,000.744.528-86,train,2,0.0,82.0,Defensivos,Defensivos,5.0,4.0,5.0,2.0
24198,000.744.528-86,train,3,0.0,72.0,Defensivos,Defensivos,3.0,4.0,5.0,2.0
28124,000.744.528-86,train,4,0.0,65.0,Defensivos,Defensivos,7.0,4.0,6.0,5.0
35069,000.744.528-86,train,5,0.0,67.6,Defensivos,Defensivos,8.0,4.0,5.0,5.0
37850,000.744.528-86,train,6,0.0,61.5,Defensivos,Defensivos,9.0,4.0,5.0,5.0
41872,000.744.528-86,train,7,0.0,59.142857142857146,Fertilizantes,Defensivos,0.0,4.0,3.0,5.0
45863,000.744.528-86,train,8,0.0,57.5,Defensivos,Defensivos,2.0,4.0,3.0,5.0
52537,000.744.528-86,train,9,0.0,59.55555555555556,Defensivos,Defensivos,6.0,0.0,5.0,5.0
57679,000.744.528-86,train,10,0.0,59.4,Fertilizantes,Defensivos,0.0,0.0,6.0,5.0
61887,000.744.528-86,train,11,0.0,58.45454545454545,Defensivos,Defensivos,5.0,0.0,6.0,5.0
64141,000.744.528-86,train,12,0.0,55.75,Defensivos,Defensivos,8.0,0.0,6.0,5.0
64852,000.744.528-86,train,13,0.0,52.15384615384615,Defensivos,Defensivos,1.0,0.0,5.0,5.0
68613,000.744.528-86,train,14,0.0,51.42857142857143,Sementes,Defensivos,5.0,0.0,5.0,5.0
72708,000.744.528-86,train,15,0.0,51.13333333333333,Defensivos,Defensivos,8.0,0.0,4.0,5.0
72799,000.744.528-86,train,16,0.0,48.0,Defensivos,Defensivos,3.0,0.0,2.0,5.0
72984,000.744.528-86,train,17,1.0,45.294117647058826,Defensivos,Defensivos,3.0,0.0,2.0,5.0
89175,000.744.528-86,test,18,0.0,52.888888888888886,Defensivos,Defensivos,3.0,0.0,,5.0
92649,000.744.528-86,test,19,0.0,52.10526315789474,Defensivos,Defensivos,5.0,0.0,,5.0
94176,000.744.528-86,test,20,0.0,50.3,Defensivos,Defensivos,3.0,3.0,,5.0
99319,000.744.528-86,test,21,,50.095238095238095,,Defensivos,,3.0,,5.0
25377,000.778.101-63,train,0,1.0,101.99133428646456,Sementes,Defensivos,4.0,0,2.0,2.0
91349,000.778.101-63,test,1,0.0,746.0,Defensivos,Fertilizantes,8.0,3.0,,2.0
91469,000.778.101-63,test,2,,373.5,,Fertilizantes,,3.0,,2.0
17587,000.796.873-69,train,0,0.0,101.99133428646456,Sementes,Defensivos,8.0,0,4.0,2.0
18541,000.796.873-69,train,1,1.0,11.0,Fertilizantes,Máquinas,5.0,8.0,3.0,4.0
29743,000.796.873-69,train,2,1.0,68.5,Sementes,Máquinas,6.0,8.0,2.0,4.0
63864,000.796.873-69,train,3,0.0,175.33333333333334,Fertilizantes,Máquinas,6.0,8.0,3.0,4.0
67761,000.796.873-69,train,4,1.0,142.75,Máquinas,Sementes,1.0,8.0,2.0,3.0
85010,000.796.873-69,test,5,0.0,153.0,Sementes,Sementes,2.0,8.0,,3.0
86878,000.796.873-69,test,6,1.0,131.16666666666666,,Sementes,,8.0,,3.0
17120,000.797.027-75,train,0,1.0,101.99133428646456,Defensivos,Defensivos,6.0,0,3.0,2.0
30812,000.797.027-75,train,1,1.0,155.0,Sementes,Defensivos,8.0,7.0,2.0,3.0
47437,000.797.027-75,train,2,1.0,171.5,Máquinas,Defensivos,3.0,7.0,2.0,3.0
66899,000.797.027-75,train,3,0.0,188.66666666666666,Sementes,Defensivos,9.0,7.0,6.0,2.0
71568,000.797.027-75,train,4,0.0,154.75,Sementes,Defensivos,5.0,7.0,4.0,2.0
75601,000.797.027-75,val,5,0.0,132.8,Fertilizantes,Defensivos,8.0,7.0,6.0,2.0
78705,000.797.027-75,val,6,0.0,116.5,Máquinas,Sementes,2.0,7.0,5.0,2.0
88277,000.797.027-75,test,7,0.0,115.28571428571429,Sementes,Sementes,0.0,8.0,,2.0
97363,000.797.027-75,test,8,0.0,112.75,Sementes,Sementes,6.0,8.0,,2.0
99131,000.797.027-75,test,9,,101.77777777777777,,Sementes,,8.0,,2.0
31993,000.803.736-15,train,0,1.0,101.99133428646456,Sementes,Defensivos,1.0,0,2.0,2.0
53696,000.803.736-15,train,1,1.0,246.0,Sementes,Sementes,9.0,6.0,2.0,2.0
77486,000.803.736-15,val,2,1.0,258.5,Defensivos,Sementes,6.0,6.0,4.0,2.0
88885,000.803.736-15,test,3,0.0,215.33333333333334,Sementes,Sementes,4.0,6.0,,2.0
93127,000.803.736-15,test,4,,173.0,,Sementes,,6.0,,2.0
38929,000.844.292-40,train,0,1.0,101.99133428646456,Defensivos,Defensivos,7.0,0,2.0,2.0
86167,000.844.292-40,test,1,0.0,538.0,Máquinas,Sementes,5.0,6.0,,2.0
86280,000.844.292-40,test,2,1.0,269.5,,Sementes,,6.0,,2.0
26836,000.878.770-07,train,0,1.0,101.99133428646456,Fertilizantes,Defensivos,9.0,0,2.0,2.0
68951,000.878.770-07,train,1,1.0,478.0,,Máquinas,,9.0,2.0,2.0
3336,000.887.953-22,train,0,1.0,101.99133428646456,Máquinas,Defensivos,5.0,0,2.0,2.0
52540,000.887.953-22,train,1,0.0,550.0,Fertilizantes,Fertilizantes,0.0,2.0,2.0,2.0
53769,000.887.953-22,train,2,1.0,281.5,Máquinas,Fertilizantes,8.0,2.0,2.0,2.0
74790,000.887.953-22,val,3,1.0,268.3333333333333,Fertilizantes,Fertilizantes,4.0,2.0,3.0,2.0
87988,000.887.953-22,test,4,0.0,238.25,Fertilizantes,Fertilizantes,3.0,2.0,,2.0
97130,000.887.953-22,test,5,,209.8,,Fertilizantes,,2.0,,2.0
95332,000.891.866-05,test,0,,101.99133428646456,,Defensivos,,0,,2.0
7988,000.965.838-60,train,0,1.0,101.99133428646456,Fertilizantes,Defensivos,9.0,0,2.0,2.0
84944,000.965.838-60,test,1,1.0,870.0,,Fertilizantes,,4.0,,2.0
11802,000.982.953-90,train,0,1.0,101.99133428646456,Defensivos,Defensivos,2.0,0,2.0,2.0
32802,000.982.953-90,train,1,1.0,236.0,Defensivos,Defensivos,5.0,4.0,2.0,2.0
67554,000.982.953-90,train,2,0.0,316.0,Defensivos,Defensivos,9.0,4.0,4.0,2.0
74643,000.982.953-90,val,3,1.0,237.66666666666666,Defensivos,Defensivos,4.0,4.0,6.0,2.0
86180,000.982.953-90,test,4,0.0,210.75,Máquinas,Defensivos,3.0,4.0,,2.0
87532,000.982.953-90,test,5,0.0,171.6,Defensivos,Defensivos,5.0,4.0,,2.0
88645,000.982.953-90,test,6,,145.0,,Defensivos,,4.0,,2.0
4558,001.055.608-71,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
694,001.162.228-83,train,0,0.0,101.99133428646456,Fertilizantes,Defensivos,6.0,0,7.0,2.0
5818,001.162.228-83,train,1,0.0,47.0,Sementes,Defensivos,2.0,1.0,7.0,7.0
8119,001.162.228-83,train,2,0.0,35.5,Defensivos,Defensivos,9.0,1.0,7.0,7.0
8211,001.162.228-83,train,3,0.0,24.0,Defensivos,Defensivos,6.0,1.0,7.0,7.0
8398,001.162.228-83,train,4,0.0,18.5,Defensivos,Defensivos,9.0,1.0,6.0,7.0
16353,001.162.228-83,train,5,0.0,32.4,Defensivos,Defensivos,5.0,6.0,4.0,7.0
22064,001.162.228-83,train,6,0.0,37.833333333333336,Defensivos,Defensivos,6.0,6.0,4.0,7.0
24025,001.162.228-83,train,7,0.0,35.714285714285715,Fertilizantes,Defensivos,2.0,6.0,3.0,7.0
29292,001.162.228-83,train,8,0.0,38.625,Defensivos,Defensivos,4.0,6.0,6.0,7.0
38039,001.162.228-83,train,9,0.0,45.22222222222222,Fertilizantes,Defensivos,4.0,6.0,6.0,7.0
40395,001.162.228-83,train,10,0.0,43.4,Sementes,Defensivos,5.0,6.0,6.0,7.0
42110,001.162.228-83,train,11,0.0,41.18181818181818,Defensivos,Defensivos,5.0,6.0,6.0,7.0
42828,001.162.228-83,train,12,0.0,38.416666666666664,Defensivos,Defensivos,3.0,6.0,6.0,6.0
42963,001.162.228-83,train,13,0.0,35.61538461538461,Sementes,Defensivos,8.0,6.0,5.0,6.0
43634,001.162.228-83,train,14,0.0,33.642857142857146,Defensivos,Defensivos,9.0,6.0,5.0,6.0
52596,001.162.228-83,train,15,0.0,38.13333333333333,Defensivos,Defensivos,3.0,6.0,3.0,6.0
55218,001.162.228-83,train,16,0.0,37.5625,Sementes,Defensivos,4.0,6.0,3.0,6.0
