evento_id,entidade_id,pos_full
0,860.703.096-50,11
998,860.703.096-50,23
1230,860.703.096-50,35
1324,860.703.096-50,47
5765,860.703.096-50,59
6544,860.703.096-50,71
13526,860.703.096-50,83
26862,860.703.096-50,95
30669,860.703.096-50,107
35759,860.703.096-50,119
36161,860.703.096-50,131
40035,860.703.096-50,143
41426,860.703.096-50,155
44495,860.703.096-50,167
47384,860.703.096-50,179
48856,860.703.096-50,191
51833,860.703.096-50,203
51991,860.703.096-50,215
53299,860.703.096-50,227
57291,860.703.096-50,239
57419,860.703.096-50,251
57816,860.703.096-50,263
57832,860.703.096-50,275
71044,860.703.096-50,287
71045,860.703.096-50,299
76973,860.703.096-50,311
78017,860.703.096-50,323
78174,860.703.096-50,335
82028,860.703.096-50,347
88838,860.703.096-50,359
95462,860.703.096-50,371
1,434.431.988-56,11
16049,434.431.988-56,23
28630,434.431.988-56,35
33579,434.431.988-56,47
35443,434.431.988-56,59
42726,434.431.988-56,71
60103,434.431.988-56,83
63475,434.431.988-56,95
79117,434.431.988-56,107
2,223.814.674-16,11
4487,223.814.674-16,23
19586,223.814.674-16,35
27358,223.814.674-16,47
44001,223.814.674-16,59
46752,223.814.674-16,71
46762,223.814.674-16,83
51797,223.814.674-16,95
52116,223.814.674-16,107
52630,223.814.674-16,119
54811,223.814.674-16,131
56736,223.814.674-16,143
59572,223.814.674-16,155
60840,223.814.674-16,167
72304,223.814.674-16,179
72309,223.814.674-16,191
79875,223.814.674-16,203
82005,223.814.674-16,215
82008,223.814.674-16,227
92449,223.814.674-16,239
92618,223.814.674-16,251
95223,223.814.674-16,263
3,512.078.599-90,11
5326,512.078.599-90,23
9466,512.078.599-90,35
11552,512.078.599-90,47
47773,512.078.599-90,59
64382,512.078.599-90,71
75473,512.078.599-90,83
79184,512.078.599-90,95
4,136.150.326-24,11
3181,136.150.326-24,23
10475,136.150.326-24,35
12977,136.150.326-24,47
13014,136.150.326-24,59
13016,136.150.326-24,71
26778,136.150.326-24,83
27105,136.150.326-24,95
37605,136.150.326-24,107
39590,136.150.326-24,119
41912,136.150.326-24,131
53468,136.150.326-24,143
55452,136.150.326-24,155
56416,136.150.326-24,167
56797,136.150.326-24,179
59528,136.150.326-24,191
62190,136.150.326-24,203
62219,136.150.326-24,215
